City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
319,Gerash,IR,73.54,light rain,27.6652,54.1371,Sa'adat House Gerash
322,Bubaque,GW,79.86,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
325,Soyo,AO,69.85,scattered clouds,-6.1349,12.3689,Hospedaria ndozi'ame
328,Acarau,BR,78.12,broken clouds,-2.8856,-40.12,castelo pizzaria
331,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
332,Kovur,IN,81.19,scattered clouds,14.4833,79.9833,Hotel Yesh Park
334,Solnechnogorsk,RU,69.64,few clouds,56.1833,36.9833,Luch Hostel
335,Vila Velha,BR,75.15,scattered clouds,-20.3297,-40.2925,Hotel Vitória Palace
336,Entre Rios,BR,66.7,broken clouds,-11.9419,-38.0844,Pousada Porteira
341,Kotaparh,IN,73.11,overcast clouds,19.15,82.35,Atul Pattnaik
343,Saint-Denis,FR,67.23,clear sky,48.9167,2.3333,ibis budget Paris Porte de Montmartre
344,Kemijarvi,FI,61.34,light rain,66.7131,27.4306,Hotelli Kemijärvi
346,Roshchino,RU,65.68,overcast clouds,60.2519,29.6085,Hotel Galliard
347,Cururupu,BR,75.72,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
348,Bathsheba,BB,84.81,scattered clouds,13.2167,-59.5167,Atlantis Hotel
356,Pandan,PH,80.37,overcast clouds,14.0453,124.1694,Bonifacio Lodge
358,Makinsk,KZ,66.13,overcast clouds,52.6292,70.4169,Bereke
360,Bluefields,NI,77.07,scattered clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
362,Nha Trang,VN,77.0,overcast clouds,12.25,109.1833,Hanoi Golden Hotel
363,Kem,RU,61.43,overcast clouds,64.9555,34.5793,Kuzova
364,Saint-Pierre,RE,67.91,clear sky,-21.3393,55.4781,Alize Plage
365,Fort Nelson,CA,83.79,broken clouds,58.8053,-122.7002,The Fort Nelson Hotel
366,Kavieng,PG,83.26,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
367,Salinopolis,BR,78.71,broken clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
368,Rogatica,BA,64.47,few clouds,43.8008,19.0025,Hotel Park
