City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
210,Izhma,RU,65.0083,53.9113,52.14,73,52,2.84,broken clouds
211,Buala,SB,-8.145,159.5921,81.9,76,92,5.5,overcast clouds
212,Plettenberg Bay,ZA,-34.0527,23.3716,59.52,58,84,10.33,broken clouds
213,Honningsvag,NO,70.9821,25.9704,55.15,88,0,1.14,clear sky
214,Tahoua,NE,14.8888,5.2692,90.72,47,80,20.0,broken clouds
215,Grand Gaube,MU,-20.0064,57.6608,68.4,77,4,3.0,clear sky
216,Hambantota,LK,6.1241,81.1185,75.54,100,75,1.14,broken clouds
217,Saskylakh,RU,71.9167,114.0833,69.84,73,29,7.7,scattered clouds
218,Hutang,CN,31.5333,119.4833,77.13,91,36,1.99,scattered clouds
219,Pacific Grove,US,36.6177,-121.9166,76.21,74,0,16.11,clear sky
220,Amahai,ID,-3.3333,128.9167,77.23,88,86,9.28,overcast clouds
221,Olga,RU,43.7444,135.2892,69.87,86,100,5.75,overcast clouds
222,Puro,PH,12.4841,123.3827,80.4,82,76,4.29,broken clouds
223,Groa,NO,62.65,8.7167,53.4,98,100,9.04,overcast clouds
224,Saint-Dizier,FR,48.4167,5.0833,67.6,69,56,2.42,broken clouds
225,Bose,IT,45.4612,8.0137,80.19,68,37,9.86,light rain
226,Sale,MA,34.0389,-6.8166,74.08,88,3,0.0,clear sky
227,Basco,PH,20.4487,121.9702,84.72,74,68,4.54,broken clouds
228,Taltal,CL,-25.4,-70.4833,60.94,75,30,4.85,scattered clouds
229,Maku,IR,39.2911,44.4521,69.67,56,1,3.09,clear sky
230,Cabo San Lucas,MX,22.8909,-109.9124,92.5,55,20,12.66,few clouds
231,Ca Mau,VN,9.1769,105.15,77.63,92,100,4.65,overcast clouds
232,Port Lincoln,AU,-34.7333,135.8667,51.42,79,100,11.88,overcast clouds
233,Thinadhoo,MV,0.5333,72.9333,77.67,90,89,19.51,overcast clouds
234,Piet Retief,ZA,-27.0071,30.8132,41.56,89,0,2.73,clear sky
235,Klyuchi,RU,52.2667,79.1667,66.85,50,90,7.54,overcast clouds
236,Umm Kaddadah,SD,13.6017,26.6876,90.14,35,100,13.35,overcast clouds
237,Novyy Nekouz,RU,57.9029,38.07,62.83,91,19,1.61,few clouds
238,Kirkkonummi,FI,60.1238,24.4385,65.05,87,46,12.59,scattered clouds
239,Hesla,IN,24.0667,85.8833,78.04,84,87,5.3,overcast clouds
240,La Ronge,CA,55.1001,-105.2842,64.62,72,75,17.27,broken clouds
241,Lahti,RU,59.9911,30.1597,64.58,78,100,6.93,overcast clouds
242,Aden,YE,12.7794,45.0367,85.24,64,84,2.57,broken clouds
243,Mulchen,CL,-37.7167,-72.2333,53.46,93,99,5.46,overcast clouds
244,Haysville,US,37.5645,-97.3523,103.73,29,20,9.22,few clouds
245,Bonavista,CA,48.6499,-53.1147,65.37,89,100,17.4,overcast clouds
246,Grindavik,IS,63.8424,-22.4338,54.07,100,100,14.97,overcast clouds
247,Chapais,CA,49.7834,-74.8492,58.78,79,95,11.03,overcast clouds
248,Chissamba,AO,-12.1667,17.3333,58.5,36,1,3.31,clear sky
249,Berbera,SO,10.4396,45.0143,91.8,32,92,19.46,overcast clouds
250,Mahebourg,MU,-20.4081,57.7,68.29,88,40,6.91,scattered clouds
251,Halifax,CA,44.6453,-63.5724,80.49,63,40,18.41,scattered clouds
252,Huron,US,41.1501,-82.5499,79.97,66,94,3.49,overcast clouds
253,Havelock,US,34.8791,-76.9013,89.98,82,0,16.11,clear sky
254,Dalvik,IS,65.9702,-18.5286,55.33,81,100,3.24,overcast clouds
255,Nemuro,JP,43.3236,145.575,64.11,95,99,4.45,overcast clouds
256,Boguchany,RU,58.3814,97.4531,57.42,98,100,9.8,light rain
257,Vanavara,RU,60.34,102.2797,56.48,97,100,7.52,light rain
258,Mar Del Plata,AR,-38.0023,-57.5575,57.09,97,100,5.75,mist
259,Kavaratti,IN,10.5669,72.642,81.37,76,100,16.31,overcast clouds
260,Tukrah,LY,32.5341,20.5791,78.91,80,0,3.31,clear sky
261,Dikson,RU,73.5069,80.5464,43.43,97,100,27.04,light rain
262,Fare,PF,-16.7,-151.0167,77.14,75,68,7.05,broken clouds
263,La Romana,DO,18.4273,-68.9728,88.16,62,40,9.22,scattered clouds
264,Yenagoa,NG,4.9247,6.2642,74.91,93,94,3.29,overcast clouds
265,Ous,RU,60.9058,61.5186,51.37,70,78,5.1,broken clouds
266,Egvekinot,RU,66.3167,-179.1667,45.03,57,85,4.12,overcast clouds
267,Kaili,ID,-3.4626,120.2147,66.79,97,97,2.51,overcast clouds
268,Zhenlai,CN,45.8495,123.2973,71.73,81,99,9.71,overcast clouds
269,Khuzhir,RU,53.1939,107.3397,53.56,87,96,6.58,overcast clouds
270,Bambous Virieux,MU,-20.3428,57.7575,68.25,88,40,6.91,light rain
271,Bin Qirdan,TN,33.1378,11.2197,85.26,37,0,8.77,clear sky
272,Vestmannaeyjar,IS,63.4427,-20.2734,53.24,98,100,17.29,overcast clouds
273,Kudahuvadhoo,MV,2.6708,72.8944,81.73,77,35,17.63,scattered clouds
274,Maldonado,UY,-34.6667,-54.9167,63.79,95,99,3.49,overcast clouds
275,Cherskiy,RU,68.75,161.3,48.47,53,4,10.92,clear sky
276,Llangefni,GB,53.2556,-4.3106,57.72,74,75,3.44,broken clouds
277,Sitka,US,57.0531,-135.33,60.69,88,100,0.0,overcast clouds
278,Arraial Do Cabo,BR,-22.9661,-42.0278,71.56,83,0,11.5,clear sky
279,Parkes,AU,-33.1333,148.1833,36.36,83,4,5.53,clear sky
280,Kulgam,IN,33.65,75.0167,66.6,93,99,1.1,overcast clouds
281,Alofi,NU,-19.0595,-169.9187,76.89,61,75,13.8,broken clouds
282,Preobrazheniye,RU,42.9019,133.9064,71.76,84,100,1.12,overcast clouds
283,Chute-Aux-Outardes,CA,49.1168,-68.399,69.78,68,20,13.8,few clouds
284,Safaga,EG,26.7292,33.9365,87.58,43,0,3.2,clear sky
285,Penzance,GB,50.1186,-5.5371,56.08,69,19,11.79,few clouds
286,Buta,CD,2.7858,24.73,70.75,98,100,1.54,overcast clouds
287,Matveyev Kurgan,RU,47.5645,38.8695,63.81,83,25,2.06,scattered clouds
288,Bowmore,US,34.9421,-79.3031,96.64,52,0,14.97,clear sky
289,Longyearbyen,SJ,78.2186,15.6401,48.04,81,75,4.61,broken clouds
290,Nago,JP,26.5881,127.9761,81.45,80,14,7.45,few clouds
291,Taywarah,AF,33.35,64.4167,65.88,38,79,2.08,broken clouds
292,Kamenskiy,RU,50.8855,45.488,64.58,87,10,3.06,light rain
293,Bay Roberts,CA,47.5999,-53.2648,73.15,88,100,7.0,overcast clouds
294,Mount Gambier,AU,-37.8333,140.7667,48.38,94,81,6.02,broken clouds
295,Itaituba,BR,-4.2761,-55.9836,91.56,58,40,5.75,scattered clouds
296,Biak,ID,-0.9131,122.8766,75.15,90,92,6.69,moderate rain
297,Sohag,EG,26.557,31.6948,86.67,14,0,6.31,clear sky
298,Jinka,ET,5.65,36.65,67.96,49,83,6.13,broken clouds
299,Shubarkuduk,KZ,49.1447,56.4872,69.08,60,15,4.61,few clouds
300,Vila Franca Do Campo,PT,37.7167,-25.4333,73.81,92,34,4.83,scattered clouds
301,Olinda,BR,-8.0089,-34.8553,73.13,88,100,10.36,mist
302,Yambio,SS,4.5721,28.3955,68.32,98,100,4.14,light rain
303,Ayan,RU,56.45,138.1667,59.77,78,86,6.55,overcast clouds
304,Akdepe,TM,42.0551,59.3788,78.89,34,0,5.1,clear sky
305,Fairmont,US,39.4851,-80.1426,73.38,93,100,3.24,overcast clouds
306,Koshurnikovo,RU,54.1667,93.3,44.58,99,30,1.36,scattered clouds
307,Tual,ID,-5.6667,132.75,78.96,79,35,24.4,scattered clouds
308,Laguna,US,38.421,-121.4238,98.08,35,0,6.91,clear sky
309,Srednekolymsk,RU,67.45,153.6833,47.37,58,94,14.67,overcast clouds
310,Faanui,PF,-16.4833,-151.75,77.67,74,65,9.86,broken clouds
311,Baculin,PH,7.4525,126.5842,78.15,83,64,4.54,broken clouds
312,Yalova,TR,40.655,29.2769,74.34,66,0,7.7,clear sky
313,Visby,SE,57.6409,18.296,62.82,67,40,18.41,scattered clouds
314,Lookan,PH,5.037,120.1027,82.36,76,98,5.93,overcast clouds
315,Umuahia,NG,5.5263,7.4896,72.86,95,100,3.76,light rain
316,Dali,CN,25.7,100.1833,61.09,94,100,4.68,overcast clouds
317,Hamilton,US,39.1834,-84.5333,78.24,81,100,4.61,haze
318,La Cruz,MX,23.9167,-106.9,87.85,63,100,8.34,overcast clouds
319,Gerash,IR,27.6652,54.1371,73.54,66,100,7.83,light rain
320,Pesqueria,MX,25.7833,-100.05,97.05,22,38,15.17,scattered clouds
321,Hvide Sande,DK,56.0045,8.1294,56.08,70,99,28.43,overcast clouds
322,Bubaque,GW,11.2833,-15.8333,79.86,76,100,11.01,overcast clouds
323,Kedrovyy,RU,56.1667,91.8167,48.87,98,100,4.59,overcast clouds
324,Hovd,MN,48.0056,91.6419,57.9,41,4,2.04,clear sky
325,Soyo,AO,-6.1349,12.3689,69.85,89,42,6.82,scattered clouds
326,Vardo,NO,70.3705,31.1107,57.18,94,100,4.61,overcast clouds
327,Dana Point,US,33.467,-117.6981,95.94,71,40,5.01,scattered clouds
328,Acarau,BR,-2.8856,-40.12,78.12,74,54,14.52,broken clouds
329,Lata,PT,40.1629,-8.3327,56.48,93,0,2.86,clear sky
330,Okmulgee,US,35.6234,-95.9605,106.09,24,40,11.5,scattered clouds
331,Camacha,PT,33.0833,-16.3333,67.42,83,40,16.11,scattered clouds
332,Kovur,IN,14.4833,79.9833,81.19,71,42,7.29,scattered clouds
333,Kathu,TH,7.9178,98.3332,86.7,99,88,5.95,overcast clouds
334,Solnechnogorsk,RU,56.1833,36.9833,69.64,90,14,2.24,few clouds
335,Vila Velha,BR,-20.3297,-40.2925,75.15,73,40,4.61,scattered clouds
336,Entre Rios,BR,-11.9419,-38.0844,66.7,97,54,4.0,broken clouds
337,Dzilam Gonzalez,MX,21.2833,-88.9333,86.49,63,95,9.31,overcast clouds
338,Batemans Bay,AU,-35.7167,150.1833,51.1,65,19,6.73,few clouds
339,Tiksi,RU,71.6872,128.8694,52.93,77,60,0.92,broken clouds
340,Zyryanskoye,RU,56.8306,86.6258,57.52,82,100,3.78,overcast clouds
341,Kotaparh,IN,19.15,82.35,73.11,93,100,4.29,overcast clouds
342,Lyngseidet,NO,69.5763,20.2189,57.2,100,100,3.78,light rain
343,Saint-Denis,FR,48.9167,2.3333,67.23,67,0,9.22,clear sky
344,Kemijarvi,FI,66.7131,27.4306,61.34,94,100,11.81,light rain
345,Ostrovnoy,RU,68.0531,39.5131,59.32,74,100,17.43,overcast clouds
346,Roshchino,RU,60.2519,29.6085,65.68,76,100,6.26,overcast clouds
